,NOM_ENT,DISTRITO,VPH_CEL,VPH_EXCSA,PSINDER,HOGJEF_F,P15YM_ANSEIN,CIRCUNSCRIPCIONES
235,San Luis Potosí,3,76.80696785,72.00177579,17.97644915,29.88076866,32.18008931,2
236,San Luis Potosí,4,87.85121263,78.54586724,18.55495493,30.3310703,22.08452406,2
237,San Luis Potosí,5,92.63920758,98.05832595,18.58172157,35.85205716,8.644539374,2
238,San Luis Potosí,6,92.68023086,99.51680523,16.49201889,34.11734053,8.019873677,2
239,San Luis Potosí,7,64.30379747,47.07443038,15.09780837,22.84759494,31.6181112,2
240,Sinaloa,1,90.19878857,96.89580877,19.07967781,34.86401886,15.88985994,1
241,Sinaloa,2,93.49346599,96.80873181,19.96434513,34.62355212,12.44298823,1
242,Sinaloa,3,88.23425477,91.85727033,14.92578961,31.30758969,27.82739156,1
243,Sinaloa,4,89.93003253,86.82918134,19.9802403,32.08966531,23.61871139,1
244,Sinaloa,5,96.33267137,99.37950592,18.45426888,36.53496944,7.274460068,1
245,Sinaloa,6,91.19412042,96.87478929,16.67897261,34.73973434,18.41599884,1
246,Sinaloa,7,94.47175242,97.27468228,23.55489736,38.71551919,14.41009882,1
247,Sonora,1,92.35147878,94.43720532,27.50978472,33.37676811,14.594474,1
248,Sonora,2,94.80928496,98.8051149,20.0408195,34.78945527,7.659422451,1
249,Sonora,3,94.74346696,97.3703653,19.04757124,34.70036941,9.5782796,1
250,Sonora,4,89.63356941,89.05025675,17.53601947,33.60615831,15.60262299,1
251,Sonora,5,94.94526747,98.25188297,16.44172311,35.34686601,7.035417424,1
252,Sonora,6,93.21326679,97.66894955,15.41999954,35.01514962,9.261037181,1
253,Sonora,7,85.87616634,71.83880309,14.01610475,32.15391731,16.48175156,1
254,Tabasco,1,75.71970011,95.98624803,27.18769899,30.65818905,24.05304489,3
255,Tabasco,2,83.68017248,96.90160773,33.54919559,31.09256436,26.03601635,3
256,Tabasco,3,81.24766607,96.89950624,34.56851817,30.2736401,23.39894265,3
257,Tabasco,4,92.10672205,99.21947185,29.11573584,34.90113603,11.46707932,3
258,Tabasco,5,83.79746001,97.11881588,32.06916257,29.52636827,17.59848977,3
259,Tabasco,6,86.64078557,97.89824813,31.61807144,31.66492676,18.35045528,3
260,Tamaulipas,1,91.90490045,99.02822229,26.23354625,31.93981462,10.71671392,2
261,Tamaulipas,2,92.75576375,97.56340564,22.24212869,31.30953838,10.77240769,2
262,Tamaulipas,3,91.52185712,86.9901048,22.82753361,28.699428,16.9947682,2
263,Tamaulipas,4,93.41809764,97.33873475,24.37556493,33.01230004,11.11791433,2
264,Tamaulipas,5,91.93635137,90.73238947,13.6298181,32.02455917,12.55684803,2
265,Tamaulipas,6,85.97969224,73.63505216,11.41727543,27.07331508,27.21966878,2
266,Tamaulipas,7,93.84733194,96.18212648,20.85479644,31.37985732,11.2623242,2
267,Tamaulipas,8,93.43233912,99.22497864,19.7657102,36.11457147,7.476744268,2
268,Tamaulipas,9,93.72109721,98.12551629,19.7285697,31.19919091,10.38979121,2
269,Tlaxcala,1,85.54191677,94.76508664,25.28516301,29.30558338,15.87751385,4
270,Tlaxcala,2,83.00248914,93.69150749,28.37947937,31.30425473,11.61296795,4
271,Tlaxcala,3,85.83908006,97.05587474,25.99317611,29.79172297,11.35684309,4
272,Veracruz de Ignacio de la Llave,1,84.93251863,72.7628512,27.2580947,27.45105563,30.62315761,3
273,Veracruz de Ignacio de la Llave,10,93.28886804,99.06193607,27.79883339,44.05561606,11.7231765,3
274,Veracruz de Ignacio de la Llave,11,91.80006239,98.71529659,21.26147789,36.00781494,17.85270577,3
275,Veracruz de Ignacio de la Llave,12,91.36702995,98.78715066,28.41247121,41.09599817,14.34312523,3
276,Veracruz de Ignacio de la Llave,13,81.08180037,92.78611579,33.25871551,33.23951386,38.12867485,3
